ENSMUSP00000044838,Atp6v0a1 Atp6n1
ENSMUSP00000035860,Crygn
ENSMUSP00000018470,Ywhab
ENSMUSP00000039269,Hnrnpk Hnrpk
ENSMUSP00000048425,Pebp1 Pbp Pebp
ENSMUSP00000071636,Prdx6
ENSMUSP00000056604,Hist1h2ba Th2b
ENSMUSP00000063293,Syt1
ENSMUSP00000031383,Ran Rasl2-8
ENSMUSP00000001989,Uba1 Sbx Ube1 Ube1ax Ube1x
ENSMUSP00000016081,H2afy
ENSMUSP00000030547,Hspg2
ENSMUSP00000020522,Pfkl Pfk-l Pfkb
ENSMUSP00000054556,Eef1a2 Eef1al Stn
ENSMUSP00000027409,Des
ENSMUSP00000052440,Stxbp1
ENSMUSP00000063734,Ezr Vil2
ENSMUSP00000099649,Eif4a1
ENSMUSP00000027438,Ncl Nuc
ENSMUSP00000079905,Arf1
ENSMUSP00000050689,Arf3
ENSMUSP00000061227,Pgm1 Pgm2
ENSMUSP00000019128,Hnrnpd Auf1 Hnrpd
ENSMUSP00000066068,Actn4
ENSMUSP00000080994,Mtco2 COII COX2 mt-Co2
ENSMUSP00000031131,Uchl1
ENSMUSP00000079341,Gnas Gnas1
ENSMUSP00000024823,Glo1
ENSMUSP00000088723,Slc25a31 Aac4 Ant4 Sfec
ENSMUSP00000084586,Hspa1a Hsp70-3 Hsp70A1
ENSMUSP00000005493,Slc1a3 Eaat1 Gmt1
ENSMUSP00000019109,Ywhah
ENSMUSP00000063548,Abat Gabat
ENSMUSP00000027634,Dbi
ENSMUSP00000066886,Atp6v1a Atp6a1 Atp6a2 Atp6v1a1
ENSMUSP00000039726,Atp5j2
ENSMUSP00000020630,Hspa4 mCG_113604
ENSMUSP00000083077,Atp1a2
ENSMUSP00000023599,Eif4a2 Ddx2b
ENSMUSP00000100067,Ywhaq
ENSMUSP00000033899,Col4a2
ENSMUSP00000039657,Atp1a1
ENSMUSP00000006435,Atp6v1b2 Atp6b2 Vat2
ENSMUSP00000047571,Hnrnpu Hnrpu
ENSMUSP00000041347,Ina
ENSMUSP00000033650,Rs1 Rs1h Xlrs1
ENSMUSP00000026743,Uqcrc1
ENSMUSP00000020358,Rab1a Rab1
ENSMUSP00000064538,Dnm3 Kiaa0820
ENSMUSP00000105796,Ndufa13 Grim19
ENSMUSP00000001204,Calm1
ENSMUSP00000000590,Rdx
ENSMUSP00000022293,Vdac2 Vdac6
ENSMUSP00000028683,Pdia3 Erp Erp60 Grp58
ENSMUSP00000103553,Srsf1
ENSMUSP00000025804,Rab1b
ENSMUSP00000093961,Rom1 Rom-1
ENSMUSP00000099938,Mdh1 Mor2
