ENSMUSP00000109698,Crygc
ENSMUSP00000086165,Sri
ENSMUSP00000113939,Wdr81
ENSMUSP00000001513,Tubb6
ENSMUSP00000007280,Krt16 Krt1-16
ENSMUSP00000011450,Sugp1 Sf4
ENSMUSP00000017534,Aldoc Aldo3 Scrg2
ENSMUSP00000030154,Nudt2 Apah1
ENSMUSP00000084460,Ppp1r10 Cat53 Pnuts
ENSMUSP00000008537,Carhsp1
ENSMUSP00000015800,Hspa8 Hsc70 Hsc73
ENSMUSP00000016399,Tubb1
ENSMUSP00000029630,Fga
ENSMUSP00000029644,Ppa2
ENSMUSP00000066280,Scrt2
ENSMUSP00000078630,Gss
ENSMUSP00000123481,Gstm1
ENSMUSP00000020768,Pgam2
ENSMUSP00000023707,Sod1
ENSMUSP00000023803,Krt18 Kerd Krt1-18
ENSMUSP00000026328,Prdx4
ENSMUSP00000028683,Pdia3 Erp Erp60 Grp58
ENSMUSP00000030547,Hspg2
ENSMUSP00000030583,Ak2
ENSMUSP00000034903,Gsta4 Gsta
ENSMUSP00000035417,Pklr mCG_17567
ENSMUSP00000045036,Myof Fer1l3 Kiaa1207
ENSMUSP00000048833,Eif4h Wbscr1
ENSMUSP00000049394,Cbr1 Cbr
ENSMUSP00000057543,Gnai2 Gnai-2
ENSMUSP00000080993,Mtco1 COI mt-Co1
ENSMUSP00000080994,Mtco2 COII COX2 mt-Co2
ENSMUSP00000093794,BC100530 Stfa3 mCG_130175
ENSMUSP00000015950,Qdpr Dhpr
ENSMUSP00000028382,Nup35 Mp44 Nup53
ENSMUSP00000037018,Fgg
ENSMUSP00000041145,Ibtk Kiaa1417
ENSMUSP00000074238,Hnrnpab Cbf-a Cgbfa Hnrpab
ENSMUSP00000079341,Gnas Gnas1
ENSMUSP00000095498,Ago1 Eif2c1
ENSMUSP00000097561,Ttn
ENSMUSP00000000001,Gnai3
ENSMUSP00000003156,Atp5d
ENSMUSP00000003754,Calb2
ENSMUSP00000019128,Hnrnpd Auf1 Hnrpd
ENSMUSP00000020775,Dynll2 Dlc2
ENSMUSP00000020930,Gna13 Gna-13
ENSMUSP00000021217,Nme2
ENSMUSP00000026576,Taldo1 Tal Taldo
ENSMUSP00000027127,Sf3b1 mCG_117542
ENSMUSP00000027444,Pde6d
ENSMUSP00000029876,Calb1
ENSMUSP00000030169,Stoml2 Slp2
